rawLabel,normalizedLabel,documentCode,confidence,language,source,notes
"02 formulaires dûment remplis et signés par l'intéressé + 02 photocopies récentes agrafées,",02 formulaires dument remplis et signes par l interesse 02 photocopies recentes agrafees ,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=8
"Fiche 33 (enquête de moralité pour les premières demandes),",fiche 33 enquete de moralite pour les premieres demandes ,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=8
Equivalence du diplôme pour les Instituts privés,equivalence du diplome pour les instituts prives,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=8
Déclaration sur l'honneur de la non-jouissance de formation diplômante au cours de deux dernières années pour le fonctionnaire,declaration sur l honneur de la non jouissance de formation diplomante au cours de deux dernieres annees pour le fonctionnaire,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=8
"Lettre de demande avec avis favorable,",lettre de demande avec avis favorable ,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=8
Lettre d’engagement dûment légalisée,lettre d engagement dument legalisee,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=7
"Demande d’autorisation adressée à Mr Le DG de l’ANDEA,",demande d autorisation adressee a mr le dg de l andea ,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=7
"Formulaire synthétique de renseignement dûment rempli par le demandeur,",formulaire synthetique de renseignement dument rempli par le demandeur ,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=7
"Document d’étude d’impact environnemental,",document d etude d impact environnemental ,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=7
"Plan de Gestion Environnemental et Social du Projet,",plan de gestion environnemental et social du projet ,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=7
"Description technique complète des ouvrages avec les différentes phases d’exécution du projet,",description technique complete des ouvrages avec les differentes phases d execution du projet ,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=7
"Document d’évaluation des incidences comprenant une étude hydrogéologique et hydrologique du milieu, un état des autres utilisations de l’eau par les autres usagers dans le même bassin versant, les mesures prévues pour éviter, réduire ou compenser les impacts des activités sur les ressources en eau, ainsi que les moyens de suivi, d’évaluation, et de surveillance des ressources en eau,",document d evaluation des incidences comprenant une etude hydrogeologique et hydrologique du milieu un etat des autres utilisations de l eau par les autres usagers dans le meme bassin versant les mesures prevues pour eviter reduire ou compenser les impacts des activites sur les ressources en eau ainsi que les moyens de suivi d evaluation et de surveillance des ressources en eau ,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=7
"Plans, cartes, éléments graphiques permettant de renseigner le lieu du prélèvement et son environnement (plan de situation, extrait cadastral, coupes géologiques et hydrogéologiques, schéma détaillé des ouvrages, etc),",plans cartes elements graphiques permettant de renseigner le lieu du prelevement et son environnement plan de situation extrait cadastral coupes geologiques et hydrogeologiques schema detaille des ouvrages etc ,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=7
Toutes autres pièces nécessaires à la compréhension du dossier,toutes autres pieces necessaires a la comprehension du dossier,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=7
Aucun,aucun,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=7
Carte d'étudiant,carte d etudiant,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=7
"Demande de diplôme,",demande de diplome ,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=7
"Extrait de casier judiciaire moins de 6 mois délivré par le pays d'origine (pour la 1ère demande) et délivré par le Tribunal d'Antananarivo (pour le renouvellement),",extrait de casier judiciaire moins de 6 mois delivre par le pays d origine pour la 1ere demande et delivre par le tribunal d antananarivo pour le renouvellement ,DOC_JUD_CRIMINAL_RECORD,medium,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=7
"Demande adressée au Maire,",demande adressee au maire ,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=7
"Plan (01),",plan 01 ,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=7
"Dernière situation certifiée,",derniere situation certifiee ,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=7
"Attestation de non-interruption de service,",attestation de non interruption de service ,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=7
Demande d'acte de naturalisation provisoire pour amener le navire à Madagascar,demande d acte de naturalisation provisoire pour amener le navire a madagascar,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=7
Photos longitudinales des côtés bâbord et tribord du navire,photos longitudinales des cotes babord et tribord du navire,DOC_ID_PHOTO,medium,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=7
Demande de visite de navigabilité à adresser à l'Autorité Maritime du pavillon provisoire,demande de visite de navigabilite a adresser a l autorite maritime du pavillon provisoire,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=7
Certificat d'effectif minimum de sécurité ou proposition d'effectif d'équipage,certificat d effectif minimum de securite ou proposition d effectif d equipage,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=7
Certificat de jaugeage du navire (délivré par l'autorité maritime de Madagascar) avec ses feuilles de calculs,certificat de jaugeage du navire delivre par l autorite maritime de madagascar avec ses feuilles de calculs,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=7
CSJ moins de trois mois,csj moins de trois mois,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=6
"Acte de notoriété,",acte de notoriete ,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=6
"Copie du Permis environnemental et le cahier de charges y afférent si disponibles,",copie du permis environnemental et le cahier de charges y afferent si disponibles ,DOC_ID_CIN,medium,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=6
Originale de l'attestation de réussite s'il y en a eu,originale de l attestation de reussite s il y en a eu,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=6
"Photocopie certifiée du visa dont visa d'entrée transformable à Madagascar (pour la 1ère demande) et dernier visa et Carte de résident (pour le renouvellement),",photocopie certifiee du visa dont visa d entree transformable a madagascar pour la 1ere demande et dernier visa et carte de resident pour le renouvellement ,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=6
"Déclaration sur l'honneur,",declaration sur l honneur ,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=6
Original du dernier acte de naturalisation,original du dernier acte de naturalisation,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=6
Certificat de résidence actuelle,certificat de residence actuelle,DOC_RES_CERT,medium,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=6
Demande sur papier libre,demande sur papier libre,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=5
"Duplicata du titre foncier ou extrait cadastral,",duplicata du titre foncier ou extrait cadastral ,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=5
CSJ moins de 3 mois,csj moins de 3 mois,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=5
"Numéro du titre, ou numéro de la parcelle cadastrale, du folio, du registre et de la section",numero du titre ou numero de la parcelle cadastrale du folio du registre et de la section,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=5
Imprimé de demande (à retirer au Box),imprime de demande a retirer au box ,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=5
Lettre d’engagement dûment légalisée du demandeur,lettre d engagement dument legalisee du demandeur,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=5
Une (1) chemise ordinaire,une 1 chemise ordinaire,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=5
"Une demande formulée par le Directeur et consignée par le propriétaire et par la Direction Nationale pour les établissements confessionnels contenant: le type d’autorisation d’ouverture demandée ( nouvelle création, changement de direction, changement d’effectif, changement de localité, changement de dénomination ou extension de niveau) , le nom et l’adresse permanente et les moyens de contact rapide du propriétaire et du directeur de l’établissement, le numéro et la date et le lieu de délivrance de la carte d’identité nationale du directeur et du propriétaire de l’établissement pour les personnes physiques et les documents justifiant l’identité du représentant légal de l’entité et les pouvoirs qui lui sont dévolus au sein de ladite société pour les personnes morales, le lieu de l’implantation de l’établissement, le niveau et la dénomination de l’établissement, le nombre de classes et d’élèves prévus à l’ouverture, le nombre d’enseignants à embaucher au moins 6 enseignants titulaires pour les niveaux collège et lycée dont trois scientifiques et trois littéraires, le régime de l’établissement externat demi-pensionnat ou internat",une demande formulee par le directeur et consignee par le proprietaire et par la direction nationale pour les etablissements confessionnels contenant le type d autorisation d ouverture demandee nouvelle creation changement de direction changement d effectif changement de localite changement de denomination ou extension de niveau le nom et l adresse permanente et les moyens de contact rapide du proprietaire et du directeur de l etablissement le numero et la date et le lieu de delivrance de la carte d identite nationale du directeur et du proprietaire de l etablissement pour les personnes physiques et les documents justifiant l identite du representant legal de l entite et les pouvoirs qui lui sont devolus au sein de ladite societe pour les personnes morales le lieu de l implantation de l etablissement le niveau et la denomination de l etablissement le nombre de classes et d eleves prevus a l ouverture le nombre d enseignants a embaucher au moins 6 enseignants titulaires pour les niveaux college et lycee dont trois scientifiques et trois litteraires le regime de l etablissement externat demi pensionnat ou internat,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=5
Pour le directeur :,pour le directeur ,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=5
"Une photocopie certifiée conforme à l’original de l’acte portant autorisation d’enseigner,",une photocopie certifiee conforme a l original de l acte portant autorisation d enseigner ,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=5
"Un contrat de travail d’une durée d’au moins un an passé entre le propriétaire de l’établissement et le directeur nominal,",un contrat de travail d une duree d au moins un an passe entre le proprietaire de l etablissement et le directeur nominal ,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=5
Pour le propriétaire :,pour le proprietaire ,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=5
"Un certificat de résidence de moins de 6 mois au moment de dépôt de dossier,",un certificat de residence de moins de 6 mois au moment de depot de dossier ,DOC_RES_CERT,medium,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=5
"Un contrat de travail d’une durée d’au moins un an passé entre le propriétaire de l’établissement et le personnel enseignant et/ou administratif dûment légalisé auprès de l’autorité compétente,",un contrat de travail d une duree d au moins un an passe entre le proprietaire de l etablissement et le personnel enseignant et ou administratif dument legalise aupres de l autorite competente ,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=5
"Une photocopie certifiée conforme à l’original de l’autorisation d’enseigner des enseignants,",une photocopie certifiee conforme a l original de l autorisation d enseigner des enseignants ,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=5
"Photocopie certifiée conforme et valide de la carte NIF et Photocopie certifiée conforme de la carte STAT (01),",photocopie certifiee conforme et valide de la carte nif et photocopie certifiee conforme de la carte stat 01 ,DOC_TAX_NIF,medium,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=5
Demande manuscrite,demande manuscrite,DOC_REQ_APPLICATION_LETTER,medium,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=5
"Dernier arrêté d'avancement,",dernier arrete d avancement ,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=5
Document certifiant la résidence de l'acquéreur à Madagascar,document certifiant la residence de l acquereur a madagascar,DOC_RES_CERT,medium,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=5
Engagement de prendre en charge 3 agents de l'APMF pour l'inspection du navire au port de provenance avant de venir à Madagascar,engagement de prendre en charge 3 agents de l apmf pour l inspection du navire au port de provenance avant de venir a madagascar,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=5
Police d'assurance en cours de validité (navire et équipage),police d assurance en cours de validite navire et equipage ,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=5
Demande d'acte de naturalisation définitif,demande d acte de naturalisation definitif,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=5
"Déclaration en douane avec quittance de paiement, ou attestation d'exonération des droits et taxes",declaration en douane avec quittance de paiement ou attestation d exoneration des droits et taxes,DOC_PAY_RECEIPT,medium,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=5
Demande d'intégration dans le mailing list par email,demande d integration dans le mailing list par email,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=5
Enveloppe A4,enveloppe a4,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=4
1 Chemise de demande de travaux (Topo),1 chemise de demande de travaux topo ,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=4
Note de service,note de service,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=4
Certificat de non recours,certificat de non recours,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=4
"Réquisition dûment datée au jour du dépôt du dossier et signée par le demandeur,",requisition dument datee au jour du depot du dossier et signee par le demandeur ,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=4
"Acte de décès,",acte de deces ,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=4
"Lettre d’engagement signée par l’intéressé et dûment légalisée (Imprimé à retirer au box),",lettre d engagement signee par l interesse et dument legalisee imprime a retirer au box ,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=4
"Plan,",plan ,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=4
Diplôme / certificat original,diplome certificat original,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=4
"Une photocopie certifiée conforme à la carte de résident délivrée par le Ministère de l'Intérieur et de la Décentralisation pour les étrangers,",une photocopie certifiee conforme a la carte de resident delivree par le ministere de l interieur et de la decentralisation pour les etrangers ,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=4
"Un certificat de résidence de moins de 6 mois au moment du dépôt du dossier,",un certificat de residence de moins de 6 mois au moment du depot du dossier ,DOC_RES_CERT,medium,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=4
"Un extrait de casier judiciaire ou pour les étrangers une pièce officielle en tenant lieu délivré de moins de trois mois au moment du dépôt de dossier,",un extrait de casier judiciaire ou pour les etrangers une piece officielle en tenant lieu delivre de moins de trois mois au moment du depot de dossier ,DOC_JUD_CRIMINAL_RECORD,medium,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=4
"Une copie du contrat de bail d’une durée minimum de 5 ans passés entre le propriétaire de l’établissement et le propriétaire des locaux dans le cas où les locaux servant de salle de classe et dépendances appartiennent à un particulier ou à un organisme privé,",une copie du contrat de bail d une duree minimum de 5 ans passes entre le proprietaire de l etablissement et le proprietaire des locaux dans le cas ou les locaux servant de salle de classe et dependances appartiennent a un particulier ou a un organisme prive ,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=4
"Pour les infrastructures : un plan détaillé des locaux avec indication de toutes les dimensions de chaque salle de classe,",pour les infrastructures un plan detaille des locaux avec indication de toutes les dimensions de chaque salle de classe ,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=4
Un procès-verabal technique de constatation de l’infrastructure établie par la CISCO d’implantation,un proces verabal technique de constatation de l infrastructure etablie par la cisco d implantation,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=4
"Demande manuscrite selon le modèle affiché au DEXAMC,",demande manuscrite selon le modele affiche au dexamc ,DOC_REQ_APPLICATION_LETTER,medium,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=4
CV du demandeur,cv du demandeur,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=4
1 photo d'identité,1 photo d identite,DOC_ID_PHOTO,medium,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=4
Diplôme,diplome,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=4
Demande adressée au Directeur du CNRIT,demande adressee au directeur du cnrit,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=4
Signature du contrat de formation,signature du contrat de formation,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=4
Demande émanant des intéressés,demande emanant des interesses,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=4
"Demande adressée au DG s/c DS, CDRA incluant le Terme de Référence de la prestation demandée",demande adressee au dg s c ds cdra incluant le terme de reference de la prestation demandee,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=4
Document technique du produit,document technique du produit,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=4
"Ancienne carte grise,",ancienne carte grise ,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=4
"Un certificat d'immatriculation et de situation juridique moins de 3 mois,",un certificat d immatriculation et de situation juridique moins de 3 mois ,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=4
"Fiche d'identification de l'établissement à récupérer auprès de l'Accueil (01),",fiche d identification de l etablissement a recuperer aupres de l accueil 01 ,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=4
"Lettre d'engagement (02),",lettre d engagement 02 ,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=4
"Certificat d'existence de l'établissement (01),",certificat d existence de l etablissement 01 ,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=4
"Facture de paiement du frais d'immatriculation au niveau de la caisse de l’ACSQDA (01),",facture de paiement du frais d immatriculation au niveau de la caisse de l acsqda 01 ,DOC_PAY_RECEIPT,medium,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=4
"Facture de paiement des frais d'analyse au niveau de la caisse de l’ACSQDA (01),",facture de paiement des frais d analyse au niveau de la caisse de l acsqda 01 ,DOC_PAY_RECEIPT,medium,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=4
Demande adressée au Directeur Général de l'INSPC,demande adressee au directeur general de l inspc,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=4
Photocopie du diplôme avec présentation de l'Attestation originale,photocopie du diplome avec presentation de l attestation originale,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=4
"Avis de crédit,",avis de credit ,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=4
"Photocopie certifiée du diplôme,",photocopie certifiee du diplome ,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=4
Pièce d'identité de l'acquéreur,piece d identite de l acquereur,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=4
Déclaration sur l'activité du navire et la modalité d'exploitation envisagée,declaration sur l activite du navire et la modalite d exploitation envisagee,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=4
Certificat de non hypothèque du navire délivré par l'autorité de pavillon d'origine,certificat de non hypotheque du navire delivre par l autorite de pavillon d origine,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=4
"Accord de principe du Ministère chargé de la Pêche, pour les navires prévus pour des activités relatifs à la capture, la collecte et le transport des produits halieutiques",accord de principe du ministere charge de la peche pour les navires prevus pour des activites relatifs a la capture la collecte et le transport des produits halieutiques,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=4
Facture de paiement,facture de paiement,DOC_PAY_RECEIPT,medium,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=4
Original de la main levée donnée par le créancier,original de la main levee donnee par le creancier,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=4
Original de l'acte de naturalisation,original de l acte de naturalisation,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=4
Demande de mutation de propriété du navire adressée à M. le Directeur Général de l'APMF - Antananarivo,demande de mutation de propriete du navire adressee a m le directeur general de l apmf antananarivo,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=4
"Acte relatif à la vente ou la donation, enregistré au Bureau de la Direction Générale ou Régionale des Impôts (02 originaux)",acte relatif a la vente ou la donation enregistre au bureau de la direction generale ou regionale des impots 02 originaux ,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=4
"Déclaration du vendeur, légalisée, autorisant le transfert de propriété (s'il n'a pas été stipulé dans l'acte de vente initial)",declaration du vendeur legalisee autorisant le transfert de propriete s il n a pas ete stipule dans l acte de vente initial ,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=4
Originaux du certificat de jaugeage et des feuilles de calculs,originaux du certificat de jaugeage et des feuilles de calculs,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=4
Originaux des plans approuvés si le nom du navire a été / sera changé,originaux des plans approuves si le nom du navire a ete sera change,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=4
NON,non,DOC_TBD,low,fr,auto-pass-2026-03-21,auto-added from UNMAPPED frequency=4
